venue,title,datetime,description,url
Todmorden Mills Heritage Site,N/A,11:00 AM – 5:00 PM,N/A,https://www.blogto.com/events/architecture-in-three-dimensions-toronto/
Union Station,N/A,11:30 AM – 3:30 PM,N/A,https://www.blogto.com/events/union-summer-presented-by-td-best-of-union-beats-dj-sarabi-toronto/
The Distillery District,N/A,12:00 PM – 4:00 PM,N/A,https://www.blogto.com/events/freeup-emancipation-day-2025-toronto/
Mascot Brewery and Restaurant,N/A,4:00 PM – 9:00 PM,N/A,https://www.blogto.com/events/duckn-work-caribana-day-party-event-friday-august-1st-4pm-9pm-toronto/
Miss Likklemore's,N/A,5:00 PM – 11:00 PM,N/A,https://www.blogto.com/events/miss-likklemores-chef-collab-dinner-series-toronto-3/
Woodbine Park,N/A,5:00 PM – 8:00 PM,N/A,https://www.blogto.com/events/toronto-food-truck-festival-toronto-2025/
Drom Taberna,N/A,5:30 PM – 7:30 PM,N/A,https://www.blogto.com/events/friday-evening-swing-dance-and-jazz-manouche-with-nat-beja-at-drom-taberna-toronto/
"Down the ""Discovery Walks"" Road",N/A,6:00 PM – 8:00 PM,N/A,https://www.blogto.com/events/comedy-on-the-river-a-unique-paddle-in-comedy-show-toronto-3/
United Contemporary,N/A,6:00 PM – 8:00 PM,N/A,https://www.blogto.com/events/too-much-fashion-an-ode-to-black-creative-resilience-toronto/
Rily Kitchen,N/A,6:00 PM – 10:00 PM,N/A,https://www.blogto.com/events/the-art-of-the-butcher-and-the-chef-toronto/
Union Station,N/A,6:00 PM – 9:00 PM,N/A,https://www.blogto.com/events/union-summer-presented-by-td-soul-fridays-bana-onmarz-toronto/
MOCA Toronto,N/A,6:30 PM – 8:00 PM,N/A,https://www.blogto.com/events/free-first-friday-night-performance-stephanie-chua-and-allison-cameron-toronto/
Mossop's Social House,N/A,6:30 PM – 11:30 PM,N/A,https://www.blogto.com/events/zoukotop-caribana-edition-at-mossops-social-house-toronto/
Artbox,N/A,6:30 PM – 8:00 PM,N/A,https://www.blogto.com/events/a-bear-and-canvas-paint-pouring-workshop-toronto/
Second City,N/A,7:00 PM – 8:30 PM,N/A,https://www.blogto.com/events/duel-citizens-toronto-5/
St James Park,N/A,7:00 PM – 8:00 PM,N/A,https://www.blogto.com/events/theatre-in-st-james-presents-the-tragedie-of-romeo-juliet-toronto/
Lamport Stadium,N/A,7:00 PM – 11:00 PM,N/A,https://www.blogto.com/events/toronto-panorama-keeping-pan-alive-toronto/
Comedy Bar East,N/A,7:00 PM – 8:15 PM,N/A,https://www.blogto.com/events/josh-gondelman-live-in-toronto-toronto/
Rogers Centre,N/A,7:00 PM – 10:00 PM,N/A,https://www.blogto.com/events/toronto-blue-jays-city-connect-fridays-postgame-fireworks-toronto/
The Pilot,N/A,7:00 PM – 11:59 PM,N/A,https://www.blogto.com/events/summer-indie-party-toronto/
The Rec Room,N/A,7:00 PM – 12:30 AM,N/A,https://www.blogto.com/events/cringey-2010s-music-trivia-dance-party-toronto/
Desi Food Junction,N/A,7:00 PM – 9:00 PM,N/A,https://www.blogto.com/events/premium-desi-comedy-show-toronto/
Steadfast Brewing,N/A,7:00 PM – 11:00 PM,N/A,https://www.blogto.com/events/karaoke-at-steadfast-brewing-toronto-7/
The Painted Lady,N/A,7:00 PM – 9:00 PM,N/A,https://www.blogto.com/events/the-way-of-the-world-listening-party-with-kris-live-at-the-painted-lady-toronto/
My Inner Child Paint Bar,N/A,7:00 PM – 10:00 PM,N/A,https://www.blogto.com/events/paint-and-sip-a-midsummers-night-dream-toronto/
Rogers Centre,N/A,7:07 PM – 9:30 PM,N/A,https://www.blogto.com/events/mlb-toronto-blue-jays-vs-kansas-city-royals-toronto/
Church of St. Mary Magdalene,N/A,7:30 PM – 9:00 PM,N/A,https://www.blogto.com/events/the-chapel-choir-of-pembroke-college-cambridge-with-anna-lapwood-toronto/
The Epochal Imp,N/A,7:30 PM – 10:00 PM,N/A,https://www.blogto.com/events/testing-attention-please-torontos-friendliest-comedy-competition-toronto-16/
The Corner,N/A,8:00 PM – 11:30 PM,N/A,https://www.blogto.com/events/a-stand-up-comedy-showcase-toronto-646/
Drom Taberna,N/A,8:00 PM – 10:00 PM,N/A,https://www.blogto.com/events/friday-night-video-game-jazz-with-brendan-swanson-and-the-suspiciousexe-files-at-drom-taberna-toronto/
Hot Docs Ted Rogers Cinema,N/A,8:30 PM – 11:30 PM,N/A,https://www.blogto.com/events/spirited-away-live-on-stage-toronto/
Social Capital Theatre,N/A,8:30 PM – 9:30 PM,N/A,https://www.blogto.com/events/all-of-us-are-minorities-comedy-show-toronto-8/
Social Capital Theatre,N/A,8:30 PM – 9:45 PM,N/A,https://www.blogto.com/events/all-of-us-are-minorities-comedy-show-toronto-9/
Comedy Bar East,N/A,9:00 PM – 10:15 PM,N/A,https://www.blogto.com/events/hamburger-live-in-toronto-toronto/
