title,url,date_time,venue
Architecture in Three Dimensions,https://www.blogto.com/events/architecture-in-three-dimensions-toronto/,11:00 AM – 5:00 PM,Todmorden Mills Heritage Site
Union Summer presented by TD - Best of Union Beats: DJ Sarabi,https://www.blogto.com/events/union-summer-presented-by-td-best-of-union-beats-dj-sarabi-toronto/,11:30 AM – 3:30 PM,Union Station
FREEUP! Emancipation Day 2025,https://www.blogto.com/events/freeup-emancipation-day-2025-toronto/,12:00 PM – 4:00 PM,The Distillery District
"DUCK'N WORK CARIBANA DAY PARTY EVENT Friday, August 1st @ 4PM-9PM",https://www.blogto.com/events/duckn-work-caribana-day-party-event-friday-august-1st-4pm-9pm-toronto/,4:00 PM – 9:00 PM,Mascot Brewery and Restaurant
Miss Likklemore's Chef Collab Dinner Series,https://www.blogto.com/events/miss-likklemores-chef-collab-dinner-series-toronto-3/,5:00 PM – 11:00 PM,Miss Likklemore's
Toronto Food Truck Festival,https://www.blogto.com/events/toronto-food-truck-festival-toronto-2025/,5:00 PM – 8:00 PM,Woodbine Park
Friday Evening Swing Dance and Jazz Manouche with Nat Beja at DROM Taberna,https://www.blogto.com/events/friday-evening-swing-dance-and-jazz-manouche-with-nat-beja-at-drom-taberna-toronto/,5:30 PM – 7:30 PM,Drom Taberna
Comedy on the River - A Unique Paddle-in Comedy Show!,https://www.blogto.com/events/comedy-on-the-river-a-unique-paddle-in-comedy-show-toronto-3/,6:00 PM – 8:00 PM,"Down the ""Discovery Walks"" Road"
Too Much Fashion - An Ode to Black Creative Resilience,https://www.blogto.com/events/too-much-fashion-an-ode-to-black-creative-resilience-toronto/,6:00 PM – 8:00 PM,United Contemporary
The Art of the Butcher and the Chef,https://www.blogto.com/events/the-art-of-the-butcher-and-the-chef-toronto/,6:00 PM – 10:00 PM,Rily Kitchen
Union Summer presented by TD - Soul Fridays: Bana Onmarz,https://www.blogto.com/events/union-summer-presented-by-td-soul-fridays-bana-onmarz-toronto/,6:00 PM – 9:00 PM,Union Station
Free First Friday Night Performance: Stephanie Chua and Allison Cameron,https://www.blogto.com/events/free-first-friday-night-performance-stephanie-chua-and-allison-cameron-toronto/,6:30 PM – 8:00 PM,MOCA Toronto
Zoukotop Caribana Edition at Mossops Social House,https://www.blogto.com/events/zoukotop-caribana-edition-at-mossops-social-house-toronto/,6:30 PM – 11:30 PM,Mossop's Social House
A Bear and Canvas Paint Pouring Workshop,https://www.blogto.com/events/a-bear-and-canvas-paint-pouring-workshop-toronto/,6:30 PM – 8:00 PM,Artbox
Duel Citizens,https://www.blogto.com/events/duel-citizens-toronto-5/,7:00 PM – 8:30 PM,Second City
Theatre In St James Presents: The Tragedie of Romeo & Juliet,https://www.blogto.com/events/theatre-in-st-james-presents-the-tragedie-of-romeo-juliet-toronto/,7:00 PM – 8:00 PM,St James Park
Toronto Panorama - Keeping Pan Alive,https://www.blogto.com/events/toronto-panorama-keeping-pan-alive-toronto/,7:00 PM – 11:00 PM,Lamport Stadium
Josh Gondelman LIVE in Toronto!,https://www.blogto.com/events/josh-gondelman-live-in-toronto-toronto/,7:00 PM – 8:15 PM,Comedy Bar East
Toronto Blue Jays City Connect Fridays,https://www.blogto.com/events/toronto-blue-jays-city-connect-fridays-postgame-fireworks-toronto/,7:00 PM – 10:00 PM,Rogers Centre
Summer Indie Party,https://www.blogto.com/events/summer-indie-party-toronto/,7:00 PM – 11:59 PM,The Pilot
Cringey 2010's Music Trivia & Dance Party,https://www.blogto.com/events/cringey-2010s-music-trivia-dance-party-toronto/,7:00 PM – 12:30 AM,The Rec Room
Premium Desi Comedy Show !,https://www.blogto.com/events/premium-desi-comedy-show-toronto/,7:00 PM – 9:00 PM,Desi Food Junction
KARAOKE at Steadfast Brewing!,https://www.blogto.com/events/karaoke-at-steadfast-brewing-toronto-7/,7:00 PM – 11:00 PM,Steadfast Brewing
The Way of The World Listening Party with Kris Live at The Painted Lady,https://www.blogto.com/events/the-way-of-the-world-listening-party-with-kris-live-at-the-painted-lady-toronto/,7:00 PM – 9:00 PM,The Painted Lady
Paint and SIP: A Midsummer's Night Dream,https://www.blogto.com/events/paint-and-sip-a-midsummers-night-dream-toronto/,7:00 PM – 10:00 PM,My Inner Child Paint Bar
MLB: Toronto Blue Jays vs. Kansas City Royals,https://www.blogto.com/events/mlb-toronto-blue-jays-vs-kansas-city-royals-toronto/,7:07 PM – 9:30 PM,Rogers Centre
"The Chapel Choir of Pembroke College, Cambridge with Anna Lapwood",https://www.blogto.com/events/the-chapel-choir-of-pembroke-college-cambridge-with-anna-lapwood-toronto/,7:30 PM – 9:00 PM,Church of St. Mary Magdalene
TESTING: ATTENTION PLEASE! Toronto's Friendliest Comedy Competition,https://www.blogto.com/events/testing-attention-please-torontos-friendliest-comedy-competition-toronto-16/,7:30 PM – 10:00 PM,The Epochal Imp
A Stand Up Comedy Showcase,https://www.blogto.com/events/a-stand-up-comedy-showcase-toronto-646/,8:00 PM – 11:30 PM,The Corner
Friday Night Video Game Jazz with Brendan Swanson and the Suspicious.EXE Files at DROM Taberna,https://www.blogto.com/events/friday-night-video-game-jazz-with-brendan-swanson-and-the-suspiciousexe-files-at-drom-taberna-toronto/,8:00 PM – 10:00 PM,Drom Taberna
Spirited Away: Live on Stage,https://www.blogto.com/events/spirited-away-live-on-stage-toronto/,8:30 PM – 11:30 PM,Hot Docs Ted Rogers Cinema
All Of Us Are Minorities: Comedy Show!,https://www.blogto.com/events/all-of-us-are-minorities-comedy-show-toronto-8/,8:30 PM – 9:30 PM,Social Capital Theatre
All Of Us Are Minorities: Comedy Show!,https://www.blogto.com/events/all-of-us-are-minorities-comedy-show-toronto-9/,8:30 PM – 9:45 PM,Social Capital Theatre
Hamburger LIVE in Toronto!,https://www.blogto.com/events/hamburger-live-in-toronto-toronto/,9:00 PM – 10:15 PM,Comedy Bar East
