venue,link
MainStage,https://comedybar.ca/shows/First-Timers-Club?ev=2025-08-04T21%3A30%3A00
MainStage,https://comedybar.ca/shows/impulse-comedy?ev=2025-08-05T20%3A00%3A00
MainStage,https://comedybar.ca/shows/gay-af?ev=2025-08-06T20%3A00%3A00
MainStage,https://comedybar.ca/shows/the-after-party?ev=2025-08-07T19%3A30%3A00
MainStage,https://comedybar.ca/shows/the-headliner?ev=2025-08-08T19%3A00%3A00
MainStage,https://comedybar.ca/shows/saturday-night-fomo?ev=2025-08-09T19%3A00%3A00
MainStage,https://comedybar.ca/shows/Starship-Improvise?ev=2025-08-05T20%3A00%3A00
MainStage,https://comedybar.ca/shows/nice-time?ev=2025-08-06T20%3A00%3A00
MainStage,https://comedybar.ca/shows/unhinged?ev=2025-08-07T20%3A00%3A00
MainStage,https://comedybar.ca/shows/theatresports-presents-globehead-2025?ev=2025-08-08T19%3A00%3A00
MainStage,https://comedybar.ca/shows/Swipe-Right?ev=2025-08-09T19%3A00%3A00
MainStage,https://comedybar.ca/shows/COMEDY-SLAM?ev=2025-08-05T21%3A30%3A00
MainStage,https://comedybar.ca/shows/Cashprov?ev=2025-08-06T21%3A30%3A00
MainStage,https://comedybar.ca/shows/the-pro-show?ev=2025-08-07T21%3A00%3A00
MainStage,https://comedybar.ca/shows/the-new-show-with-mark-forward?ev=2025-08-08T20%3A30%3A00
MainStage,https://comedybar.ca/shows/thirst-trap?ev=2025-08-09T20%3A30%3A00
MainStage,https://comedybar.ca/shows/open-mic-the-bucket-show?ev=2025-08-05T23%3A00%3A00
MainStage,https://comedybar.ca/shows/no-name-comedy?ev=2025-08-06T21%3A30%3A00
MainStage,https://comedybar.ca/shows/laugh-sabbath?ev=2025-08-07T21%3A30%3A00
MainStage,https://comedybar.ca/shows/catch23?ev=2025-08-08T21%3A00%3A00
MainStage,https://comedybar.ca/shows/comedy-bars-main-event?ev=2025-08-09T21%3A00%3A00
MainStage,https://comedybar.ca/shows/canadian-famous-bloor?ev=2025-08-08T22%3A00%3A00
MainStage,https://comedybar.ca/shows/double-down?ev=2025-08-09T22%3A00%3A00
MainStage,https://comedybar.ca/shows/laugh-it-off-with-andrew-packer?ev=2025-08-08T23%3A00%3A00
MainStage,https://comedybar.ca/shows/toronto-comedy-all-stars?ev=2025-08-09T23%3A00%3A00
MainStage,https://comedybar.ca/shows/comedy-bar-after-dark?ev=2025-08-08T23%3A30%3A00
MainStage,https://comedybar.ca/shows/comedy-bar-after-dark?ev=2025-08-09T23%3A30%3A00
MainStage,https://comedybar.ca/shows/MOSTLY-ITALIAN-COMEDY-SHOW?ev=2025-08-10T19%3A00%3A00
MainStage,https://comedybar.ca/shows/all-of-us-are-asian?ev=2025-08-11T20%3A00%3A00
MainStage,https://comedybar.ca/shows/bloomin-funyuns?ev=2025-08-12T19%3A30%3A00
MainStage,https://comedybar.ca/shows/bad-romance?ev=2025-08-13T20%3A00%3A00
MainStage,https://comedybar.ca/shows/daniel-simonsen?ev=2025-08-14T19%3A00%3A00
MainStage,https://comedybar.ca/shows/the-headliner?ev=2025-08-15T19%3A00%3A00
MainStage,https://comedybar.ca/shows/threesome?ev=2025-08-16T20%3A30%3A00
MainStage,https://comedybar.ca/shows/mundial-de-comedia-roast-latino?ev=2025-08-10T19%3A00%3A00
MainStage,https://comedybar.ca/shows/we-might-need-therapy?ev=2025-08-11T20%3A00%3A00
MainStage,https://comedybar.ca/shows/new-in-town-comedy-with-james-roque?ev=2025-08-12T20%3A00%3A00
MainStage,https://comedybar.ca/shows/nice-time?ev=2025-08-13T20%3A00%3A00
MainStage,https://comedybar.ca/shows/yee-ha-comedy?ev=2025-08-14T20%3A00%3A00
MainStage,https://comedybar.ca/shows/theatresports-presents-globehead-2025?ev=2025-08-15T19%3A00%3A00
MainStage,https://comedybar.ca/shows/Cara-Connors-BORN-TO-SUCK?ev=2025-08-16T21%3A00%3A00
MainStage,https://comedybar.ca/shows/gluten-free-comedy?ev=2025-08-10T20%3A30%3A00
MainStage,https://comedybar.ca/shows/wheel-of-comedy?ev=2025-08-11T21%3A30%3A00
MainStage,https://comedybar.ca/shows/COMEDY-SLAM?ev=2025-08-12T21%3A30%3A00
MainStage,https://comedybar.ca/shows/the-2-degrees-live?ev=2025-08-13T21%3A30%3A00
MainStage,https://comedybar.ca/shows/the-pro-show?ev=2025-08-14T21%3A00%3A00
MainStage,https://comedybar.ca/shows/i-will-say-this-though?ev=2025-08-15T20%3A30%3A00
MainStage,https://comedybar.ca/shows/comedy-bar-after-dark?ev=2025-08-16T23%3A30%3A00
MainStage,https://comedybar.ca/shows/The-Cat-Rat-show?ev=2025-08-10T21%3A00%3A00
MainStage,https://comedybar.ca/shows/open-mic-the-bucket-show?ev=2025-08-12T23%3A00%3A00
MainStage,https://comedybar.ca/shows/laugh-sabbath?ev=2025-08-14T21%3A30%3A00
MainStage,https://comedybar.ca/shows/catch23?ev=2025-08-15T21%3A00%3A00
MainStage,https://comedybar.ca/shows/late-mic-to-bloor?ev=2025-08-10T22%3A00%3A00
MainStage,https://comedybar.ca/shows/the-merry-janes-of-comedy?ev=2025-08-15T22%3A00%3A00
MainStage,https://comedybar.ca/shows/comedy-bar-after-dark?ev=2025-08-15T23%3A30%3A00
MainStage,https://comedybar.ca/shows/Age-Against-The-Machine?ev=2025-08-17T17%3A00%3A00
MainStage,https://comedybar.ca/shows/judge-mintz?ev=2025-08-18T20%3A00%3A00
MainStage,https://comedybar.ca/shows/Rat-Race-and-Friends?ev=2025-08-19T20%3A00%3A00
MainStage,https://comedybar.ca/shows/HYPE?ev=2025-08-20T20%3A00%3A00
MainStage,https://comedybar.ca/shows/the-pro-show?ev=2025-08-21T21%3A00%3A00
MainStage,https://comedybar.ca/shows/the-headliner?ev=2025-08-22T19%3A00%3A00
MainStage,https://comedybar.ca/shows/just-four-laughs?ev=2025-08-23T19%3A00%3A00
MainStage,https://comedybar.ca/shows/in-rod-we-trust?ev=2025-08-17T19%3A00%3A00
MainStage,https://comedybar.ca/shows/the-music-show?ev=2025-08-18T21%3A30%3A00
MainStage,https://comedybar.ca/shows/Starship-Improvise?ev=2025-08-19T20%3A00%3A00
MainStage,https://comedybar.ca/shows/nice-time?ev=2025-08-20T20%3A00%3A00
MainStage,https://comedybar.ca/shows/laugh-sabbath?ev=2025-08-21T21%3A30%3A00
MainStage,https://comedybar.ca/shows/theatresports-presents-globehead-2025?ev=2025-08-22T19%3A00%3A00
MainStage,https://comedybar.ca/shows/Singles-Comedy-Night?ev=2025-08-23T19%3A00%3A00
MainStage,https://comedybar.ca/shows/jokers-wild-an-xxx-roast-battle-show?ev=2025-08-17T19%3A00%3A00
