title,date,time,performers,image_url
Buy Tickets,Unknown,Unknown,Unknown,/uploads/files/event-images/shulerking.png
Impulse Comedy,Unknown,08:00 PM,"08:00 PM, from $15.00, Buy Tickets",/uploads/files/event-images/Copy%20of%20CB_LOGO_UNDERLINE_TORONTO_CANADA.png
Late Night F*ckery,Unknown,11:00 PM,"11:00 PM, from $23.00, Buy Tickets",/uploads/files/event-images/LateNightFuckeryFinalStars.png
Standout Comedy,Unknown,10:00 PM,"10:00 PM, from $23.00, Buy Tickets",/uploads/files/event-images/Copy%20of%20CB_LOGO_UNDERLINE_TORONTO_CANADA.png
COMEDY BAR KARAOKE,Unknown,11:00 PM,"11:00 PM, from $0.00, Buy Tickets",/uploads/files/event-images/KARAOKE%20NIGHT%20CBP.jpg
Mark Forward Presents Safari Time,Unknown,07:00 PM,"07:00 PM, from $30.00, Buy Tickets",/uploads/files/event-images/IMG_4505%20(1).png
PARTY HARD HARD PARTY,Unknown,08:00 PM,"08:00 PM, from $20.00, Buy Tickets",/uploads/files/event-images/phhpmay.jpg
Daniel Simonsen,Unknown,07:00 PM,"07:00 PM, from $28.77, Buy Tickets",/uploads/files/event-images/264984513.JPG
Sobreviviendo Canada,Unknown,07:00 PM,"07:00 PM, from $30.00, Buy Tickets",/uploads/files/event-images/august24.jpg
Comedy Records LIVE,Unknown,08:30 PM,"08:30 PM, from $25.00, Buy Tickets",/uploads/files/event-images/CR_ComedyBar.jpg
Bad Romance: Summer of Love,Unknown,08:00 PM,"08:00 PM, from $15.00, Buy Tickets",/uploads/files/event-images/Bad%20Romance%20Poster%202025-06-17.png
The Rundown: The Best Of Comedy Bar,Unknown,09:00 PM,"09:00 PM, from $25.00, Buy Tickets",/uploads/files/event-images/the%20rundown%20generic%20(1920%20x%201080%20px)%20(1).png
Hamoodi,Unknown,09:00 PM,"09:00 PM, from $30.75, Buy Tickets",/uploads/files/event-images/DSC_5851.jpg
YSKB Comedy,Unknown,09:30 PM,"09:30 PM, from $15.00, Buy Tickets",/uploads/files/event-images/YSKB%20AUG%2027.jpg
A Totally Normal Comedy Show,Unknown,08:30 PM,"08:30 PM, from $20.00, Buy Tickets",/uploads/files/event-images/Just%20a.png
Saturday Spotlights,Unknown,09:30 PM,"09:30 PM, from $23.00, Buy Tickets",/uploads/files/event-images/saturday%20spotlights%20(1920%20x%201080%20px)%20(3).png
Sahib Singh,Unknown,07:00 PM,"07:00 PM, from $40.75, Buy Tickets",/uploads/files/event-images/Sahib%20Singh%20Headshot.png
Ahren Belisle,Unknown,07:30 PM,"07:30 PM, from $35.75, Buy Tickets",/uploads/files/event-images/3%20(2).png
Kaneez Surka Live,Unknown,07:00 PM,"07:00 PM, from $36.72, Buy Tickets",/uploads/files/event-images/Kaneez.JPG
Cara Connors: BORN TO SUCK (Live!),Unknown,09:00 PM,"09:00 PM, from $28.00, Buy Tickets",/uploads/files/event-images/CaraConnorsTorontoAug16.png
STUDIO THURSDAYS,Unknown,08:30 PM,"08:30 PM, from $13.00, Buy Tickets",/uploads/files/event-images/Studio%20Thursdays%202025.png
Joker’s Wild: An XXX Roast Battle Show,Unknown,07:00 PM,"07:00 PM, from $21.00, Buy Tickets",/uploads/files/event-images/jokerswildaug.png
MOVIE: The Improvised Musical,Unknown,09:30 PM,"09:30 PM, from $15.00, Buy Tickets",/uploads/files/event-images/Movie%20The%20Musical%20Poster%201%20-%2011x17.jpg
CRUSH CITY,Unknown,08:00 PM,"08:00 PM, from $23.00, Buy Tickets",/uploads/files/event-images/crushcity2025new.png
Comedy Bar: After Dark,Unknown,11:30 PM,"11:30 PM, from $18.00, Buy Tickets",/uploads/files/event-images/After%20(1).png
Funny Thing To Do: Toronto,Unknown,08:30 PM,"08:30 PM, from $23.00, Buy Tickets",/uploads/files/event-images/Copy%20of%20CB_LOGO_UNDERLINE_TORONTO_CANADA.png
I Will Say THIS Though (PREVIEW),Unknown,08:30 PM,"08:30 PM, from $18.00, Buy Tickets",/uploads/files/event-images/Viza%20(4).png
Paul Elia,Unknown,07:30 PM,"07:30 PM, from $30.75, Buy Tickets",/uploads/files/event-images/980900990.JPG
Dylan Carlino,Unknown,07:00 PM,"07:00 PM, from $30.75, Buy Tickets",/uploads/files/event-images/Dylan%20Carlino%20headshot.jpg
Three Speed Presents,Unknown,08:00 PM,"08:00 PM, from $15.00, Buy Tickets",/uploads/files/event-images/Copy%20of%20CB_LOGO_UNDERLINE_TORONTO_CANADA.png
Mike Lynch - Not Fit,Unknown,09:00 PM,"09:00 PM, from $40.75, Buy Tickets",/uploads/files/event-images/NotFit-Toronto-square.png
Canada's Comedy All Stars,Unknown,07:00 PM,"07:00 PM, from $20.00, Buy Tickets",/uploads/files/event-images/Copy%20of%20CB_LOGO_UNDERLINE_TORONTO_CANADA.png
Gus Constantellis (Montréal),Unknown,07:00 PM,"07:00 PM, from $37.75, Buy Tickets",/uploads/files/event-images/GusHeadshot4.png
New in Town Comedy (with James Roque),Unknown,08:00 PM,"08:00 PM, from $25.00, Buy Tickets",/uploads/files/event-images/NIT_Aug25_9x16%20Poster.jpg
Grace O'Malley,Unknown,07:00 PM,"07:00 PM, from $35.75, Buy Tickets",/uploads/files/event-images/Grace%20O'Malley%20Headshot.jpg
Starship Improvise,Unknown,08:00 PM,"08:00 PM, from $15.00, Buy Tickets",/uploads/files/event-images/9210498293402.png
Dan St. Germain,Unknown,07:00 PM,"07:00 PM, from $28.77, Buy Tickets",/uploads/files/event-images/dan%20st%20germain.jpg
ONE FUNNY LISA MARIE,Unknown,07:00 PM,"07:00 PM, from $20.00, Buy Tickets",/uploads/files/event-images/Lisa%20copy%20(1)%20(3)%20copy.png
Big Jay Oakerson,Unknown,06:00 PM,"06:00 PM, from $51.25, Buy Tickets",/uploads/files/event-images/post%20facebook_1080x1080%20(2).png
The Kickback Ottawa,Unknown,08:30 PM,"08:30 PM, from $24.00, Buy Tickets",/uploads/files/event-images/Kick%20BaCK.png
Swipe Right,Unknown,07:00 PM,"07:00 PM, from $23.50, Buy Tickets",/uploads/files/event-images/Aug9th7pm.jpg
New Year’s Eve Fun Time Party + Mega Jam!!!,Unknown,08:00 PM,"08:00 PM, from $15.00, Buy Tickets",/uploads/files/event-images/nyecbpropagesfinal.png
Sammy Obeid,Unknown,05:00 PM,"05:00 PM, from $39.00, Buy Tickets",/uploads/files/event-images/Sammy23.jpg
Laugh Sabbath,Unknown,09:30 PM,"09:30 PM, from $18.00, Buy Tickets",/uploads/files/event-images/sabb.jpg
Friday Features,Unknown,08:00 PM,"08:00 PM, from $23.00, Buy Tickets",/uploads/files/event-images/2025%20friday%20features%20(1920%20x%201080%20px).png
Cindy-Ann Boisson,Unknown,07:00 PM,"07:00 PM, from $45.75, Buy Tickets",/uploads/files/event-images/image0%20(59).jpg
Space Cadet by Varun Thakur,Unknown,07:00 PM,"07:00 PM, from $35.00, Buy Tickets",/uploads/files/event-images/1080x1350_post%20(1).jpg
Dan Davies,Unknown,07:00 PM,"07:00 PM, from $24.00, Buy Tickets",/uploads/files/event-images/Dan%20Davies.png
Fabrizio Copano,Unknown,07:00 PM,"07:00 PM, from $44.25, Buy Tickets",/uploads/files/event-images/post%20facebook_1080x1080%20(3).png
Nice Time,Unknown,08:00 PM,"08:00 PM, from $10.00, Buy Tickets",/uploads/files/event-images/New%20Nice%20Time.jpg
BLOOMIN FUNYUNS,Unknown,07:30 PM,"07:30 PM, from $23.00, Buy Tickets",/uploads/files/event-images/bloominnew.png
"Unhinged: Your dating profile, improvised.",Unknown,08:00 PM,"08:00 PM, from $15.00, Buy Tickets",/uploads/files/event-images/UNHINGED%202025.png
Advanced Improv Drop-In,Unknown,08:00 PM,"08:00 PM, from $0.00, Buy Tickets",/uploads/files/event-images/Copy%20of%20CB_LOGO_UNDERLINE_TORONTO_CANADA.png
Shuler King,Unknown,07:00 PM,"07:00 PM, from $35.75, Buy Tickets",/uploads/files/event-images/SHULER%20UPDATED%20HEADSHOT.jpg
Amateur Contender Series,Unknown,08:30 PM,"08:30 PM, from $16.00, Buy Tickets",/uploads/files/event-images/Amatuer%20Contender%20Series.png
HYPE,Unknown,08:00 PM,"08:00 PM, from $18.00, Buy Tickets",/uploads/files/event-images/Hype%20Aug20%20Base%2002.jpg
Deep Dish,Unknown,08:00 PM,"08:00 PM, from $15.00, Buy Tickets",/uploads/files/event-images/DEEP%20DISH_HAROLD.jpg
The Best Comedians Tonight,Unknown,08:30 PM,"08:30 PM, from $22.00, Buy Tickets",/uploads/files/event-images/2926742.jpg
