title,venue,description,url,Participatory,Quirky,DatingFunVibe,KidFriendly,TotalScore,Tag,PickForNewsletter
First Timer’s Club Tickets,MainStage,"Watch Toronto’s best improvisers join the legendary “First Timer’s Club” as they perform their never-before-scene formats and troups perform for you, the audience! Featuring QTPie’s queer centric short form, Show Pig’s board game inspired long form, and comedic storytelling by Cole Dille. There is no wilder way to spend a Monday night than watching a show that has never been played before!
Featuring : Cole Dille, Juan De La Cruz, Gavin Miner-Brownell, Melia Tessel, Feyisami Adara, Charles Nichols, Sania Kamal, Gaia Micciancio, AC Birch, Anthony Sardinha, Hazel Wallace, Cass Dedert, and Alex Kamp @colesillydille (insta)
VENUE INFORMATION AVAILABLE
HERE",https://comedybar.ca/shows/First-Timers-Club?ev=2025-08-04T21%3A30%3A00,2.0,8,5,3,18,,True
Impulse Comedy Tickets,MainStage,"The reason we do anything is because of electrical impulses transmitting across the neurons in our brain. Sometimes, those neurons in our brains lead us to say or do completely random things, on “Impulse”
Well, one of those things was this show. All done on impulse. The Date? Chosen impulsively. The Comics, all chosen impulsively. The name of the show? You bet it, impulse.
You see, when you chose not to think things through, you sometimes end up with something great. Like Paella or the ‘86 Mets.
Much like Paella, all these comics were chosen to be put on this show because they are great. Like the ‘86 Mets, they are all World Series Champions who owe their success to Bill Buckner.
Mookie Wilson once said: ""I comfort myself by saying if I believe in dinosaurs, then somewhere, they must be believing in me”
Well, these comics believe in you, its now time for you to believe in them, and come check out- IMPULSE COMEDY
Host: Brandon Zakkai
$15 online, $20 at the door
ACCESSIBILITY
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/impulse-comedy?ev=2025-08-05T20%3A00%3A00,2.0,9,7,3,21,,True
Hump Day Comedy Tickets,MainStage,"COME COOL OFF WITH SOME FANTASTIC MIDSUMMER COMEDY!
Hump Day Comedy is delivering the cheeky mid-weeky laughs you need to level up your week! Advance tickets are under $20! Use code HUMPDAY to get an extra $5 dollars off!
Wednesdays are hard, so Gay AF Comedy is serving Toronto’s top comedians to get you over the hump with some air conditioned laughs!
This month features some Gay AF Faves, so you know it’s gonna be good!
ADA NICOLE
ANNA SEBASTIEN
RYAN DURGY
CLIF KNIGHT
Hosted by ROBERT WATSON
Gay AF always delivers a great show, grab your friends (with consent) and come join the funny!
$18 online, $23 at the door
VENUE INFORMATION AVAILABLE
HERE",https://comedybar.ca/shows/gay-af?ev=2025-08-06T20%3A00%3A00,2.0,7,7,3,19,,True
The After Party Tickets,MainStage,"Tough day at work? Come to the After Party. Bad date? The AP is here for you. Hate your kids? Don't bring them to the AP.
The best part of the night is always the After Party: a time to kick back and have fun with friends. Hot Soup Presents a variety show guaranteed to be packed with some of the city’s best comedians, some improv, a little stand up, and maybe even some sketch. Don't have a party to go to before? That's okay. Everyone is welcome at this AP.
Tickets:
Online - $15
Door - $20
Hosted by: Emily Callahan & Julia Ettlinger
ACCESSIBILITY
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/the-after-party?ev=2025-08-07T19%3A30%3A00,5.0,8,7,1,21,,
THE HEADLINER Tickets,MainStage,"One of the best comedians in Canada does an extended set. Hosted by Adam Christie.
Adam Christie is an award winning stand-up who has appeared on SCHITT'S CREEK and WHAT WE DO IN THE SHADOWS. He is the former head writer of THIS HOUR HAS 22 MINUTES, and a former staff writer for BARONESS VON SKETCH SHOW. Exclaim Magazine called him ""One of the most compelling acts in Canada”
COVID 19 INFORMATION & ACCESSIBILITY
Wearing a mask is recommended, but not mandatory.
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/the-headliner?ev=2025-08-08T19%3A00%3A00,2.0,7,8,1,18,,
Saturday Night F.O.M.O Tickets,MainStage,"Saturday Night Fomo is an incredible monthly stand-up showcase featuring touring headliners who have been featured on Sirius XM, JFL, Crave, Amazon Prime, CBC and more. These acts are paid regulars at Toronto’s best clubs like Yuk Yuks, Absolute Comedy, & The Corner Comedy Club. It’s a fun night that you won’t forget. Don’t miss out on this amazing night of laughs!
COVID 19 INFORMATION & ACCESSIBILITY
Wearing a mask is recommended, but not mandatory.
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/saturday-night-fomo?ev=2025-08-09T19%3A00%3A00,2.0,6,8,1,17,,
Starship Improvise Tickets,MainStage,"Starship Improvise is a sci-fi improv show where the longform narrative carries on from one show to the next!  The plot and the missions are based on suggestions by YOU, and the interstellar crew has to live (or die) with the consequences!
VENUE INFORMATION AVAILABLE
HERE",https://comedybar.ca/shows/Starship-Improvise?ev=2025-08-05T20%3A00%3A00,9.0,8,6,4,27,,
Nice Time Tickets,MainStage,"Three of Toronto's best comedians (and sometimes guests too!) improvise a show for you, the audience. Guaranteed to be a very nice time.
Featuring:
Dan Beirne (Ginny & Georgia)
Mark Little (Cavendish)
Nicole Passmore (Second City TourCo)
& guests
COVID 19 INFORMATION & ACCESSIBILITY
Wearing a mask is recommended, but not mandatory.
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/nice-time?ev=2025-08-06T20%3A00%3A00,3.0,7,6,2,18,,
"Unhinged: Your dating profile, improvised. Tickets",MainStage,"Using YOUR dating profiles, Toronto’s HOTTEST improv group SOFT RUFFIANS swipe right on profile pictures, prompt answers and “first lines” for a night of unhinged comedy that blows the doors open on life, love and thirst traps.
Soft Ruffians are:
Bryan Weiser
Dalia Vainer
Pat Gourdeau
Janelle McGuiness
Franci Dimitrovska
Melissa Gerskup
Leslie Cserepy
$15 online, $20 at the door
ACCESSIBILITY
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/unhinged?ev=2025-08-07T20%3A00%3A00,5.0,8,9,1,23,,
Theatresports Presents: Globehead 2025 Tickets,MainStage,"For Honour. For Glory. For A Ridiculous Trophy.
GLOBEHEAD is Bad Dog’s annual short form improv tournament, and is now in its 24th year. Globehead is a hotly-contested Toronto comedy tradition and this year's lineup is packed with an incredible mix of veteran heavy-hitters, emerging comedy powerhouses, and “celebrity” judges - you never know who you might see!
Hosted by Ryan Sheedy and Sarah Hillier
Competing this year are:
July 4, 2025
Short Form Practice Group (Brian Edwards, Alfred Chow, Amrutha Krishnan, Sam Wyss, Patrick Ronan)
Nosy Neighbours (Cole Dille, Ella Merrett)
Philosophers (Christy Bruce & Gavin Williams)
Hands on a Hardbody (Paul Aihoshi, Alex Cabrera-Aragon, Rhys Naylor and Griffin Toplitsky)
July 11, 2025
Anti-F*ckboys (Janet Mac, Liz Wanless, Asha Vijayasingham, Niamh Lynch)
Soft Hands (Austin Sherman, Stevey Hunter, Liz Cyrus, Sunny Gill)
The Dream Team (Nkasi Ogbonnah, Ajahnis Charley)
Liz and Alice (Liz Johnston and Alice Moran)
July 19, 2025
Deliverers (Adeel Shamsi, Brandon Craggs, Margaret Rose, Nicole Passmore, Noor Dhanda)
Back from the Dead (Bridget Cann, Andrea Marston, Jenn Ferris, Alia DeSantis, Chris Middleton)
The Scenario (PHATT Al, Katie Chin, Lance Oribello, Ryan Troke)
Alberta Man (Alexa MacKell, Tyra Banda, Maria Besko, Jared Wonago)
July 26, 2025
Salty Keepers (Maddox Campbell, Kyle Scott)
Healthy Men (Anand Rajaram, Chris Sandiford, Mark Andrada, Oliver Georgiou, Simon Pond)
The Most Beautiful Men in the World (Sachin Sinha, Matt McCready, Miguel Rivas, Josh Zimmerman)
Three Australian Mailmen (Callum Wratten, Janek Gonsalkorale, Tim Mikula)
August 1 & 8 - Quarter Finals
August 15 & 22 - Semi Finals
August 29 - Finals
$15 online, $20 at the door
PWYC tickets available to reserve by either calling or emailing.
For more information about Bad Dog Theatre, please visit
http://baddogtheatre.com
ACCESSIBILITY
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/theatresports-presents-globehead-2025?ev=2025-08-08T19%3A00%3A00,2.0,9,7,3,21,,
